,Gender,Age,Country,Education,Major,Profession,Industry,Experience,Annual_Salary,target
8596,Male,25-29,Europe,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Data Analyst,Online Business/Internet-based Sales,3-4,"10-20,000",15000
8599,Male,25-29,India,Bachelor’s degree,Engineering (non-computer focused),Software Engineer,Computers/Technology,4-5,"0-10,000",5000
8601,Male,30-34,Europe,Master’s degree,Mathematics or statistics,Research Scientist,Academics/Education,5-10,"10-20,000",15000
8602,Male,40-44,Europe,Some college/university study without earning a bachelor’s degree,"Information technology, networking, or system administration",Developer Advocate,Other,5-10,"30-40,000",35000
8603,Male,25-29,Asia,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Other,0-1,"90-100,000",95000
8604,Male,30-34,Other,Master’s degree,Mathematics or statistics,Software Engineer,Online Service/Internet-based Services,5-10,"10-20,000",15000
8607,Male,22-24,India,Master’s degree,Physics or astronomy,Marketing Analyst,Academics/Education,0-1,"0-10,000",5000
8608,Male,25-29,India,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Computers/Technology,4-5,"10-20,000",15000
8612,Male,25-29,Asia,Bachelor’s degree,"Computer science (software engineering, etc.)",Research Assistant,Accounting/Finance,1-2,"20-30,000",25000
8613,Male,25-29,China,Master’s degree,Engineering (non-computer focused),Data Scientist,Computers/Technology,3-4,"0-10,000",5000
8614,Male,25-29,Asia,Master’s degree,Engineering (non-computer focused),Software Engineer,Manufacturing/Fabrication,3-4,"40-50,000",45000
8615,Female,25-29,Europe,Doctoral degree,"Computer science (software engineering, etc.)",Data Scientist,Manufacturing/Fabrication,2-3,"70-80,000",75000
8618,Male,22-24,India,Master’s degree,"Social sciences (anthropology, psychology, sociology, etc.)",Business Analyst,Retail/Sales,1-2,"0-10,000",5000
8619,Male,35-39,Europe,Master’s degree,Mathematics or statistics,Data Scientist,Other,5-10,"50-60,000",55000
8621,Male,22-24,India,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,1-2,"0-10,000",5000
8623,Male,18-21,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,2-3,"0-10,000",5000
8625,Male,25-29,India,Master’s degree,"Computer science (software engineering, etc.)",Other,Accounting/Finance,2-3,"0-10,000",5000
8627,Male,25-29,Europe,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Online Service/Internet-based Services,2-3,"40-50,000",45000
8628,Female,30-34,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Consultant,Computers/Technology,1-2,"10-20,000",15000
8629,Male,25-29,dna,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,3-4,"30-40,000",35000
8630,Male,25-29,India,Master’s degree,Engineering (non-computer focused),Data Analyst,Insurance/Risk Assessment,0-1,"0-10,000",5000
8632,Male,45-49,Europe,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Manager,Shipping/Transportation,10-15,"400-500,000",450000
8633,Male,22-24,India,Bachelor’s degree,Engineering (non-computer focused),Software Engineer,Computers/Technology,1-2,"0-10,000",5000
8637,Male,30-34,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Business Analyst,Computers/Technology,5-10,"0-10,000",5000
8638,Male,40-44,Asia,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Data Analyst,Broadcasting/Communications,10-15,"40-50,000",45000
8639,Male,22-24,Europe,Master’s degree,"Information technology, networking, or system administration",Student,Computers/Technology,0-1,"0-10,000",5000
8640,Male,25-29,Europe,Doctoral degree,Mathematics or statistics,Student,I am a student,3-4,"10-20,000",15000
8642,Male,40-44,India,Bachelor’s degree,Engineering (non-computer focused),Business Analyst,Computers/Technology,10-15,"20-30,000",25000
8643,Male,40-44,Asia,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Research Scientist,Non-profit/Service,5-10,"10-20,000",15000
8644,Male,30-34,Asia,Master’s degree,Physics or astronomy,Software Engineer,Manufacturing/Fabrication,5-10,"60-70,000",65000
8645,Male,30-34,India,Bachelor’s degree,Engineering (non-computer focused),Data Scientist,Computers/Technology,0-1,"30-40,000",35000
8646,Male,18-21,India,Bachelor’s degree,Engineering (non-computer focused),Student,I am a student,2-3,"0-10,000",5000
8647,Male,50-54,North America,Bachelor’s degree,Engineering (non-computer focused),Consultant,Computers/Technology,25-30,"125-150,000",137500
8648,Female,22-24,India,Master’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Student,Computers/Technology,0-1,"0-10,000",5000
8649,Female,25-29,Europe,Doctoral degree,"Computer science (software engineering, etc.)",Research Assistant,Academics/Education,1-2,"20-30,000",25000
8651,Male,30-34,Middle East,Doctoral degree,"Computer science (software engineering, etc.)",Research Scientist,Computers/Technology,10-15,"250-300,000",275000
8652,Male,18-21,India,Bachelor’s degree,Other,Student,I am a student,0-1,"0-10,000",5000
8653,Male,30-34,Other,Doctoral degree,"Computer science (software engineering, etc.)",Research Scientist,Computers/Technology,5-10,"30-40,000",35000
8654,Male,40-44,South America,Bachelor’s degree,"Information technology, networking, or system administration",Other,Government/Public Service,1-2,"0-10,000",5000
8655,Male,25-29,Asia,Master’s degree,Mathematics or statistics,Business Analyst,Insurance/Risk Assessment,1-2,"10-20,000",15000
8656,Male,35-39,India,Master’s degree,Physics or astronomy,Software Engineer,Computers/Technology,5-10,"20-30,000",25000
8658,Male,25-29,India,Master’s degree,Engineering (non-computer focused),Statistician,Accounting/Finance,2-3,"60-70,000",65000
8659,Male,30-34,Europe,Master’s degree,"Social sciences (anthropology, psychology, sociology, etc.)",Data Scientist,Computers/Technology,3-4,"30-40,000",35000
8660,Male,30-34,India,Master’s degree,Engineering (non-computer focused),Data Scientist,Other,1-2,"0-10,000",5000
8661,Male,45-49,Europe,Doctoral degree,"Computer science (software engineering, etc.)",Principal Investigator,Academics/Education,15-20,"30-40,000",35000
8662,Male,18-21,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0-1,"0-10,000",5000
8664,Male,25-29,Russia,Professional degree,"A business discipline (accounting, economics, finance, etc.)",Manager,Computers/Technology,2-3,"20-30,000",25000
8665,Male,30-34,Middle East,Master’s degree,Physics or astronomy,Data Scientist,Online Service/Internet-based Services,1-2,"90-100,000",95000
8666,Female,30-34,Europe,Doctoral degree,Mathematics or statistics,Data Scientist,Online Service/Internet-based Services,1-2,"70-80,000",75000
8667,Female,30-34,Europe,Master’s degree,Mathematics or statistics,Data Scientist,Marketing/CRM,4-5,"40-50,000",45000
8668,Male,25-29,Asia,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Scientist,Manufacturing/Fabrication,3-4,"10-20,000",15000
8669,Male,18-21,India,Bachelor’s degree,Engineering (non-computer focused),Student,I am a student,0-1,"0-10,000",5000
8670,Male,18-21,Europe,Master’s degree,Mathematics or statistics,Student,I am a student,3-4,"0-10,000",5000
8671,Male,30-34,India,Master’s degree,Engineering (non-computer focused),Manager,Other,5-10,"40-50,000",45000
8672,Male,22-24,India,Bachelor’s degree,Engineering (non-computer focused),Data Engineer,Computers/Technology,0-1,"10-20,000",15000
8676,Male,18-21,Europe,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,Online Business/Internet-based Sales,0-1,"0-10,000",5000
8677,Male,25-29,Russia,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Computers/Technology,0-1,"0-10,000",5000
8678,Female,22-24,Asia,Master’s degree,Fine arts or performing arts,Student,I am a student,0-1,"10-20,000",15000
8680,Female,30-34,India,Master’s degree,Other,Research Scientist,Other,4-5,"50-60,000",55000
8682,Male,30-34,Other,Bachelor’s degree,"Computer science (software engineering, etc.)",Other,Other,5-10,"40-50,000",45000
8683,Male,25-29,Europe,Master’s degree,"Computer science (software engineering, etc.)",Research Assistant,Academics/Education,2-3,"40-50,000",45000
8685,Male,40-44,Other,Bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)",Manager,Broadcasting/Communications,15-20,"50-60,000",55000
8686,Male,50-54,Europe,Master’s degree,"Computer science (software engineering, etc.)",Data Analyst,Computers/Technology,10-15,"60-70,000",65000
8688,Male,30-34,Europe,Master’s degree,"Social sciences (anthropology, psychology, sociology, etc.)",Marketing Analyst,Marketing/CRM,2-3,"10-20,000",15000
8691,Male,22-24,Europe,Master’s degree,Mathematics or statistics,Student,I am a student,0-1,"150-200,000",175000
8694,Male,30-34,India,Bachelor’s degree,Engineering (non-computer focused),Data Scientist,Computers/Technology,2-3,"20-30,000",25000
8695,Male,45-49,Europe,Doctoral degree,Mathematics or statistics,Data Analyst,Online Business/Internet-based Sales,2-3,"50-60,000",55000
8696,Male,18-21,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,3-4,"0-10,000",5000
8697,Male,22-24,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,3-4,"0-10,000",5000
8698,Female,40-44,Europe,Master’s degree,"Computer science (software engineering, etc.)",Developer Advocate,Insurance/Risk Assessment,5-10,"30-40,000",35000
8699,Male,45-49,Asia,Master’s degree,Engineering (non-computer focused),Software Engineer,Online Service/Internet-based Services,30 +,"50-60,000",55000
8700,Male,45-49,Asia,Doctoral degree,"Computer science (software engineering, etc.)",Data Scientist,Computers/Technology,5-10,"40-50,000",45000
8701,Male,50-54,Europe,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)",Data Analyst,Computers/Technology,2-3,"80-90,000",85000
8702,Male,35-39,Europe,Doctoral degree,"Computer science (software engineering, etc.)",Research Scientist,Medical/Pharmaceutical,5-10,"100-125,000",112500
8703,Male,40-44,Europe,Doctoral degree,Physics or astronomy,Salesperson,Marketing/CRM,2-3,"60-70,000",65000
8704,Female,25-29,Russia,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Other,Online Service/Internet-based Services,1-2,"10-20,000",15000
8706,Male,30-34,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,5-10,"0-10,000",5000
8707,Male,22-24,Europe,Master’s degree,"Computer science (software engineering, etc.)",Student,Computers/Technology,3-4,"10-20,000",15000
8708,Male,18-21,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,1-2,"0-10,000",5000
8709,Male,25-29,Other,Bachelor’s degree,"Computer science (software engineering, etc.)",Other,Computers/Technology,5-10,"10-20,000",15000
8710,Male,18-21,India,Bachelor’s degree,Engineering (non-computer focused),Student,I am a student,0-1,"0-10,000",5000
8711,Male,22-24,Europe,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Data Scientist,Accounting/Finance,0-1,"30-40,000",35000
8712,Male,18-21,Europe,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Online Service/Internet-based Services,1-2,"10-20,000",15000
8713,Male,40-44,Asia,Doctoral degree,"A business discipline (accounting, economics, finance, etc.)",Software Engineer,Computers/Technology,10-15,"50-60,000",55000
8714,Female,30-34,Oceania,Doctoral degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Research Scientist,Academics/Education,10-15,"40-50,000",45000
8715,Male,25-29,Europe,Some college/university study without earning a bachelor’s degree,Mathematics or statistics,Data Analyst,Accounting/Finance,0-1,"10-20,000",15000
8716,Male,40-44,Europe,Doctoral degree,"Computer science (software engineering, etc.)",Data Scientist,Online Service/Internet-based Services,3-4,"40-50,000",45000
8719,Male,22-24,Asia,Bachelor’s degree,Engineering (non-computer focused),Research Scientist,Other,0-1,"0-10,000",5000
8720,Male,30-34,India,Bachelor’s degree,Engineering (non-computer focused),Data Analyst,Manufacturing/Fabrication,10-15,"10-20,000",15000
8721,Male,30-34,India,Bachelor’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Student,I am a student,0-1,"0-10,000",5000
8722,Male,25-29,South America,Master’s degree,Other,Business Analyst,Insurance/Risk Assessment,1-2,"10-20,000",15000
8723,Male,25-29,Middle East,Master’s degree,Mathematics or statistics,Business Analyst,Online Business/Internet-based Sales,0-1,"60-70,000",65000
8724,Male,30-34,China,Master’s degree,"Computer science (software engineering, etc.)",Data Analyst,Computers/Technology,5-10,"90-100,000",95000
8725,Male,40-44,India,Doctoral degree,"Computer science (software engineering, etc.)",Other,Academics/Education,10-15,"10-20,000",15000
8727,Male,40-44,North America,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,4-5,"90-100,000",95000
8729,Male,25-29,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,5-10,"20-30,000",25000
8730,Male,40-44,Asia,Master’s degree,"Computer science (software engineering, etc.)",Consultant,Online Service/Internet-based Services,15-20,"100-125,000",112500
8732,Male,22-24,India,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Military/Security/Defense,1-2,"10-20,000",15000
8733,Male,25-29,Middle East,Bachelor’s degree,Mathematics or statistics,Data Scientist,Non-profit/Service,0-1,"50-60,000",55000
8735,Male,40-44,China,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Research Scientist,Accounting/Finance,5-10,"90-100,000",95000
8736,Male,25-29,India,Master’s degree,Engineering (non-computer focused),Consultant,Accounting/Finance,1-2,"10-20,000",15000
8737,Male,30-34,Europe,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Broadcasting/Communications,1-2,"50-60,000",55000
8738,Male,18-21,India,Bachelor’s degree,Engineering (non-computer focused),Student,I am a student,1-2,"0-10,000",5000
8739,Male,18-21,India,Master’s degree,"Information technology, networking, or system administration",Student,I am a student,0-1,"0-10,000",5000
8740,Male,35-39,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Analyst,Computers/Technology,10-15,"100-125,000",112500
8741,Male,50-54,USA,Doctoral degree,"Computer science (software engineering, etc.)",Product/Project Manager,Computers/Technology,10-15,"200-250,000",225000
8742,Male,22-24,Middle East,Master’s degree,"Computer science (software engineering, etc.)",Research Assistant,Academics/Education,2-3,"0-10,000",5000
8744,Male,25-29,Europe,Master’s degree,Mathematics or statistics,Data Scientist,Manufacturing/Fabrication,1-2,"70-80,000",75000
8746,Male,22-24,Europe,Master’s degree,Engineering (non-computer focused),Software Engineer,Computers/Technology,1-2,"20-30,000",25000
8747,Male,45-49,Europe,Master’s degree,Engineering (non-computer focused),Manager,Government/Public Service,10-15,"50-60,000",55000
8748,Male,18-21,Asia,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,2-3,"0-10,000",5000
8749,Female,25-29,Europe,Master’s degree,Mathematics or statistics,Data Scientist,Government/Public Service,2-3,"40-50,000",45000
8750,Male,35-39,Europe,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Manager,Accounting/Finance,10-15,"0-10,000",5000
8751,Male,35-39,Europe,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)",Consultant,Computers/Technology,10-15,"60-70,000",65000
8753,Male,30-34,India,Master’s degree,I never declared a major,Data Scientist,Computers/Technology,3-4,"10-20,000",15000
8754,Male,30-34,Russia,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Online Service/Internet-based Services,5-10,"30-40,000",35000
8755,Male,18-21,China,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,2-3,"0-10,000",5000
8756,Male,35-39,Europe,Master’s degree,Mathematics or statistics,Data Scientist,Computers/Technology,3-4,"50-60,000",55000
8757,Male,30-34,Europe,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Online Service/Internet-based Services,5-10,"30-40,000",35000
8759,Male,45-49,Europe,Bachelor’s degree,Physics or astronomy,Software Engineer,Academics/Education,15-20,"125-150,000",137500
8760,Male,45-49,India,Professional degree,Physics or astronomy,Consultant,Manufacturing/Fabrication,10-15,"10-20,000",15000
8764,Male,50-54,Asia,Doctoral degree,"Computer science (software engineering, etc.)",Research Scientist,Academics/Education,25-30,"10-20,000",15000
8765,Male,22-24,India,Master’s degree,Engineering (non-computer focused),Software Engineer,Computers/Technology,0-1,"0-10,000",5000
8766,Female,25-29,India,Master’s degree,Physics or astronomy,Data Scientist,Marketing/CRM,0-1,"10-20,000",15000
8767,Male,35-39,USA,Doctoral degree,Mathematics or statistics,Data Scientist,Insurance/Risk Assessment,2-3,"60-70,000",65000
8768,Male,18-21,China,Master’s degree,"Computer science (software engineering, etc.)",Data Analyst,Computers/Technology,0-1,"70-80,000",75000
8769,Male,45-49,South America,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Online Service/Internet-based Services,15-20,"10-20,000",15000
8770,Male,25-29,Asia,Doctoral degree,Physics or astronomy,Data Scientist,Computers/Technology,0-1,"20-30,000",25000
8771,Male,22-24,China,Master’s degree,"Information technology, networking, or system administration",Student,I am a student,1-2,"0-10,000",5000
8772,Male,25-29,Europe,Master’s degree,Engineering (non-computer focused),Research Scientist,Other,4-5,"60-70,000",65000
8774,Male,18-21,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0-1,"0-10,000",5000
8775,Female,25-29,China,Bachelor’s degree,"Information technology, networking, or system administration",Software Engineer,Computers/Technology,4-5,"20-30,000",25000
8778,Male,25-29,Africa,I prefer not to answer,"Computer science (software engineering, etc.)",Other,Government/Public Service,5-10,"0-10,000",5000
8779,Female,50-54,Europe,Doctoral degree,"Computer science (software engineering, etc.)",Other,Academics/Education,10-15,"50-60,000",55000
8780,Male,45-49,Europe,Master’s degree,Physics or astronomy,Product/Project Manager,Government/Public Service,15-20,"50-60,000",55000
8782,Male,18-21,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0-1,"0-10,000",5000
8783,Male,45-49,Africa,Doctoral degree,"Information technology, networking, or system administration",Research Scientist,Academics/Education,10-15,"10-20,000",15000
8785,Male,25-29,Africa,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Computers/Technology,0-1,"0-10,000",5000
8786,Male,25-29,Africa,Bachelor’s degree,"Computer science (software engineering, etc.)",Other,Computers/Technology,1-2,"10-20,000",15000
8787,Male,22-24,Africa,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Broadcasting/Communications,1-2,"20-30,000",25000
8790,Male,22-24,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Energy/Mining,2-3,"400-500,000",450000
8791,Male,22-24,Africa,Bachelor’s degree,Engineering (non-computer focused),Student,I am a student,0-1,"0-10,000",5000
8793,Male,18-21,Asia,Bachelor’s degree,Mathematics or statistics,Student,I am a student,0-1,"0-10,000",5000
8794,Male,25-29,Other,Bachelor’s degree,"Computer science (software engineering, etc.)",Other,Academics/Education,1-2,"0-10,000",5000
8795,Male,30-34,Asia,Master’s degree,Other,Research Scientist,Computers/Technology,2-3,"10-20,000",15000
8798,Male,25-29,Europe,Doctoral degree,Engineering (non-computer focused),Product/Project Manager,Manufacturing/Fabrication,1-2,"10-20,000",15000
8799,Male,22-24,South America,Some college/university study without earning a bachelor’s degree,"Information technology, networking, or system administration",Developer Advocate,Academics/Education,0-1,"0-10,000",5000
8800,Male,22-24,Asia,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Online Service/Internet-based Services,1-2,"0-10,000",5000
8801,Male,25-29,Europe,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Medical/Pharmaceutical,0-1,"40-50,000",45000
8802,Prefer not to say,25-29,China,Bachelor’s degree,Engineering (non-computer focused),Software Engineer,Computers/Technology,2-3,"10-20,000",15000
8803,Male,25-29,India,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Computers/Technology,1-2,"90-100,000",95000
8804,Male,45-49,Russia,Professional degree,Engineering (non-computer focused),Chief Officer,Computers/Technology,2-3,"80-90,000",85000
8806,Male,25-29,Europe,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Online Business/Internet-based Sales,1-2,"70-80,000",75000
8807,Male,30-34,India,Doctoral degree,Engineering (non-computer focused),DBA/Database Engineer,Computers/Technology,10-15,"20-30,000",25000
8808,Female,30-34,Europe,Doctoral degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Research Scientist,Academics/Education,1-2,"40-50,000",45000
8811,Male,22-24,India,Professional degree,"Computer science (software engineering, etc.)",Data Scientist,Computers/Technology,0-1,"10-20,000",15000
8812,Male,18-21,India,Bachelor’s degree,Engineering (non-computer focused),Student,Academics/Education,3-4,"0-10,000",5000
8813,Female,22-24,Europe,Master’s degree,"Humanities (history, literature, philosophy, etc.)",Data Analyst,Marketing/CRM,0-1,"40-50,000",45000
8815,Male,45-49,South America,Doctoral degree,Physics or astronomy,Research Scientist,Academics/Education,15-20,"10-20,000",15000
8816,Male,35-39,Europe,Doctoral degree,Engineering (non-computer focused),Data Scientist,Medical/Pharmaceutical,4-5,"90-100,000",95000
8818,Female,18-21,India,Some college/university study without earning a bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)",Student,I am a student,10-15,"0-10,000",5000
8819,Male,22-24,Russia,Doctoral degree,"A business discipline (accounting, economics, finance, etc.)",Other,Other,1-2,"20-30,000",25000
8820,Male,45-49,Russia,I prefer not to answer,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,20-25,"20-30,000",25000
8821,Male,40-44,Europe,Doctoral degree,Physics or astronomy,Data Analyst,Non-profit/Service,0-1,"10-20,000",15000
8822,Male,25-29,India,I prefer not to answer,"Medical or life sciences (biology, chemistry, medicine, etc.)",Data Scientist,I am a student,0-1,"0-10,000",5000
8823,Male,25-29,India,Doctoral degree,"Computer science (software engineering, etc.)",Research Scientist,Academics/Education,3-4,"0-10,000",5000
8824,Male,22-24,India,Master’s degree,Engineering (non-computer focused),Data Engineer,Insurance/Risk Assessment,2-3,"10-20,000",15000
8826,Male,35-39,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Other,5-10,"20-30,000",25000
8827,Female,30-34,Asia,Doctoral degree,"Computer science (software engineering, etc.)",Other,Academics/Education,5-10,"20-30,000",25000
8828,Female,22-24,Europe,Master’s degree,Mathematics or statistics,Data Scientist,I am a student,0-1,"10-20,000",15000
8829,Prefer not to say,35-39,China,I prefer not to answer,Engineering (non-computer focused),Research Scientist,Academics/Education,5-10,"10-20,000",15000
8830,Male,40-44,Europe,Doctoral degree,Physics or astronomy,Research Scientist,Academics/Education,10-15,"10-20,000",15000
8831,Male,25-29,Europe,Doctoral degree,"Computer science (software engineering, etc.)",Student,I am a student,2-3,"0-10,000",5000
8832,Male,45-49,Asia,Master’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Statistician,Medical/Pharmaceutical,15-20,"70-80,000",75000
8833,Male,35-39,Europe,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,1-2,"40-50,000",45000
8836,Female,50-54,Europe,Master’s degree,Mathematics or statistics,Chief Officer,Government/Public Service,5-10,"0-10,000",5000
8837,Male,40-44,South America,Bachelor’s degree,Engineering (non-computer focused),Business Analyst,Computers/Technology,15-20,"20-30,000",25000
8838,Male,45-49,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Product/Project Manager,Other,2-3,"50-60,000",55000
8840,Male,25-29,Europe,Master’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Research Assistant,Medical/Pharmaceutical,0-1,"50-60,000",55000
8841,Female,25-29,Europe,Master’s degree,Mathematics or statistics,Data Analyst,Computers/Technology,2-3,"30-40,000",35000
8842,Male,22-24,Asia,Master’s degree,Engineering (non-computer focused),Research Assistant,Academics/Education,0-1,"20-30,000",25000
8846,Male,22-24,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,2-3,"125-150,000",137500
8847,Male,18-21,India,Professional degree,"A business discipline (accounting, economics, finance, etc.)",Student,I am a student,3-4,"0-10,000",5000
8848,Male,22-24,Europe,Some college/university study without earning a bachelor’s degree,Physics or astronomy,Student,I am a student,3-4,"0-10,000",5000
8849,Male,22-24,Oceania,Bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)",Student,I am a student,,"0-10,000",5000
8850,Female,30-34,Russia,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Data Scientist,Online Business/Internet-based Sales,5-10,"70-80,000",75000
8851,Male,22-24,China,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Energy/Mining,3-4,"30-40,000",35000
8852,Male,22-24,India,Master’s degree,Engineering (non-computer focused),Software Engineer,Computers/Technology,1-2,"10-20,000",15000
8855,Female,25-29,USA,Master’s degree,Mathematics or statistics,Data Scientist,Online Service/Internet-based Services,0-1,"100-125,000",112500
8857,Male,45-49,Europe,Master’s degree,Mathematics or statistics,Data Scientist,Insurance/Risk Assessment,1-2,"80-90,000",85000
8858,Male,25-29,Europe,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,1-2,"50-60,000",55000
8860,Male,18-21,China,Some college/university study without earning a bachelor’s degree,Other,Student,I am a student,0-1,"0-10,000",5000
8861,Male,30-34,Oceania,Doctoral degree,Physics or astronomy,Data Scientist,Computers/Technology,0-1,"80-90,000",85000
8862,Male,35-39,South America,Master’s degree,"Computer science (software engineering, etc.)",Data Engineer,Other,2-3,"40-50,000",45000
8863,Male,40-44,South America,Master’s degree,"Computer science (software engineering, etc.)",Student,Academics/Education,15-20,"0-10,000",5000
8864,Male,22-24,Other,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Data Scientist,Accounting/Finance,0-1,"30-40,000",35000
8866,Male,18-21,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,15-20,"0-10,000",5000
8867,Male,35-39,South America,Doctoral degree,"Computer science (software engineering, etc.)",Research Scientist,Academics/Education,4-5,"150-200,000",175000
8868,Male,35-39,Asia,Bachelor’s degree,"Computer science (software engineering, etc.)",Consultant,Accounting/Finance,5-10,"30-40,000",35000
8869,Male,30-34,Africa,Master’s degree,Mathematics or statistics,Data Scientist,Accounting/Finance,2-3,"90-100,000",95000
8870,Male,30-34,India,Professional degree,"Computer science (software engineering, etc.)",Product/Project Manager,Computers/Technology,3-4,"0-10,000",5000
8871,Male,18-21,South America,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)",Data Analyst,Retail/Sales,0-1,"0-10,000",5000
8873,Male,18-21,India,Bachelor’s degree,Engineering (non-computer focused),Data Analyst,I am a student,1-2,"0-10,000",5000
8874,Male,35-39,Other,Professional degree,"Computer science (software engineering, etc.)",Business Analyst,Broadcasting/Communications,10-15,"40-50,000",45000
8876,Male,35-39,North America,Doctoral degree,Physics or astronomy,Software Engineer,Computers/Technology,3-4,"10-20,000",15000
8877,Male,30-34,Russia,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Accounting/Finance,1-2,"80-90,000",85000
8878,Male,45-49,South America,Master’s degree,Engineering (non-computer focused),Data Engineer,Marketing/CRM,1-2,"50-60,000",55000
8879,Female,35-39,North America,Bachelor’s degree,Engineering (non-computer focused),Product/Project Manager,Medical/Pharmaceutical,2-3,"60-70,000",65000
8880,Male,30-34,China,Doctoral degree,Mathematics or statistics,Statistician,Academics/Education,5-10,"0-10,000",5000
8881,Female,30-34,Europe,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Data Scientist,Marketing/CRM,0-1,"10-20,000",15000
8882,Male,30-34,Europe,Doctoral degree,Mathematics or statistics,Data Scientist,Retail/Sales,3-4,"80-90,000",85000
8883,Male,25-29,India,Bachelor’s degree,Engineering (non-computer focused),Data Engineer,Computers/Technology,2-3,"10-20,000",15000
8886,Male,18-21,India,Bachelor’s degree,Other,Student,I am a student,0-1,"10-20,000",15000
8889,Male,30-34,Europe,Master’s degree,Engineering (non-computer focused),Data Scientist,Government/Public Service,2-3,"40-50,000",45000
8890,Male,18-21,India,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0-1,"0-10,000",5000
8891,Male,22-24,North America,Bachelor’s degree,Engineering (non-computer focused),Student,I am a student,1-2,"20-30,000",25000
